week;block;focus;dow;type;titel;detail;hr
1;Basis;Aeroob fundament — traag leren lopen;1;conditioning;Rustige duurloop;35 min op praattempo. Wandelpauzes mogen: liever 5min lopen / 1min wandelen dan te hard.;< 145 bpm
1;Basis;Aeroob fundament — traag leren lopen;3;strength;Kracht — stations;Sled push 4x20m zwaar · sled pull 4x20m · farmers carry 4x50m · wall balls 4x15 · sandbag lunges 3x20m. Volledige rust tussen sets — geen metcon.;n.v.t.
1;Basis;Aeroob fundament — traag leren lopen;5;conditioning;Interval;6x 2min hard / 2min wandelen. Warming-up 10min + cooldown 10min.;Z4/Z5 in de blokken
1;Basis;Aeroob fundament — traag leren lopen;0;conditioning;Lange duurloop;6 km volledig op praattempo. Afstand telt, tempo niet.;< 145 bpm
2;Basis;Aeroob fundament — traag leren lopen;1;conditioning;Rustige duurloop;35 min op praattempo. Wandelpauzes mogen: liever 5min lopen / 1min wandelen dan te hard.;< 145 bpm
2;Basis;Aeroob fundament — traag leren lopen;3;strength;Kracht — stations;Sled push 4x20m zwaar · sled pull 4x20m · farmers carry 4x50m · wall balls 4x15 · sandbag lunges 3x20m. Volledige rust tussen sets — geen metcon.;n.v.t.
2;Basis;Aeroob fundament — traag leren lopen;5;conditioning;Interval;6x 2min hard / 2min wandelen. Warming-up 10min + cooldown 10min.;Z4/Z5 in de blokken
2;Basis;Aeroob fundament — traag leren lopen;0;conditioning;Lange duurloop;7 km volledig op praattempo. Afstand telt, tempo niet.;< 145 bpm
3;Basis;Aeroob fundament — traag leren lopen;1;conditioning;Rustige duurloop;40 min op praattempo. Wandelpauzes mogen: liever 5min lopen / 1min wandelen dan te hard.;< 145 bpm
3;Basis;Aeroob fundament — traag leren lopen;3;strength;Kracht — stations;Sled push 4x20m zwaar · sled pull 4x20m · farmers carry 4x50m · wall balls 4x15 · sandbag lunges 3x20m. Volledige rust tussen sets — geen metcon.;n.v.t.
3;Basis;Aeroob fundament — traag leren lopen;5;conditioning;Interval;7x 2min hard / 2min wandelen. Warming-up 10min + cooldown 10min.;Z4/Z5 in de blokken
3;Basis;Aeroob fundament — traag leren lopen;0;conditioning;Lange duurloop;8 km volledig op praattempo. Afstand telt, tempo niet.;< 145 bpm
4;Basis;Aeroob fundament — traag leren lopen (herstelweek);1;conditioning;Rustige duurloop;30 min op praattempo. Wandelpauzes mogen: liever 5min lopen / 1min wandelen dan te hard.;< 145 bpm
4;Basis;Aeroob fundament — traag leren lopen (herstelweek);3;strength;Kracht — stations;Sled push 4x20m zwaar · sled pull 4x20m · farmers carry 4x50m · wall balls 4x15 · sandbag lunges 3x20m. Volledige rust tussen sets — geen metcon.;n.v.t.
4;Basis;Aeroob fundament — traag leren lopen (herstelweek);5;conditioning;Interval;Herstelweek: 5x 1min hard / 2min wandelen. Warming-up 10min + cooldown 10min.;Z4/Z5 in de blokken
4;Basis;Aeroob fundament — traag leren lopen (herstelweek);0;conditioning;Lange duurloop;6 km volledig op praattempo. Afstand telt, tempo niet.;< 145 bpm
5;Basis;Aeroob fundament — traag leren lopen;1;conditioning;Rustige duurloop;40 min op praattempo. Wandelpauzes mogen: liever 5min lopen / 1min wandelen dan te hard.;< 145 bpm
5;Basis;Aeroob fundament — traag leren lopen;3;strength;Kracht — stations;Sled push 4x20m zwaar · sled pull 4x20m · farmers carry 4x50m · wall balls 4x15 · sandbag lunges 3x20m. Volledige rust tussen sets — geen metcon.;n.v.t.
5;Basis;Aeroob fundament — traag leren lopen;5;conditioning;Interval;7x 2min hard / 2min wandelen. Warming-up 10min + cooldown 10min.;Z4/Z5 in de blokken
5;Basis;Aeroob fundament — traag leren lopen;0;conditioning;Lange duurloop;9 km volledig op praattempo. Afstand telt, tempo niet.;< 145 bpm
6;Basis;Aeroob fundament — traag leren lopen;1;conditioning;Rustige duurloop;45 min op praattempo. Wandelpauzes mogen: liever 5min lopen / 1min wandelen dan te hard.;< 145 bpm
6;Basis;Aeroob fundament — traag leren lopen;3;strength;Kracht — stations;Sled push 4x20m zwaar · sled pull 4x20m · farmers carry 4x50m · wall balls 4x15 · sandbag lunges 3x20m. Volledige rust tussen sets — geen metcon.;n.v.t.
6;Basis;Aeroob fundament — traag leren lopen;5;conditioning;Interval;8x 2min hard / 2min wandelen. Warming-up 10min + cooldown 10min.;Z4/Z5 in de blokken
6;Basis;Aeroob fundament — traag leren lopen;0;conditioning;Lange duurloop;10 km volledig op praattempo. Afstand telt, tempo niet.;< 145 bpm
7;Basis;Aeroob fundament — traag leren lopen;1;conditioning;Rustige duurloop;45 min op praattempo. Wandelpauzes mogen: liever 5min lopen / 1min wandelen dan te hard.;< 145 bpm
7;Basis;Aeroob fundament — traag leren lopen;3;strength;Kracht — stations;Sled push 4x20m zwaar · sled pull 4x20m · farmers carry 4x50m · wall balls 4x15 · sandbag lunges 3x20m. Volledige rust tussen sets — geen metcon.;n.v.t.
7;Basis;Aeroob fundament — traag leren lopen;5;conditioning;Interval;8x 2min hard / 90s wandelen. Warming-up 10min + cooldown 10min.;Z4/Z5 in de blokken
7;Basis;Aeroob fundament — traag leren lopen;0;conditioning;Lange duurloop;11 km volledig op praattempo. Afstand telt, tempo niet.;< 145 bpm
8;Basis;Aeroob fundament — traag leren lopen (herstelweek);1;conditioning;Rustige duurloop;35 min op praattempo. Wandelpauzes mogen: liever 5min lopen / 1min wandelen dan te hard.;< 145 bpm
8;Basis;Aeroob fundament — traag leren lopen (herstelweek);3;strength;Kracht — stations;Sled push 4x20m zwaar · sled pull 4x20m · farmers carry 4x50m · wall balls 4x15 · sandbag lunges 3x20m. Volledige rust tussen sets — geen metcon.;n.v.t.
8;Basis;Aeroob fundament — traag leren lopen (herstelweek);5;conditioning;Interval;5x 3min hard / 2min wandelen. Warming-up 10min + cooldown 10min.;Z4/Z5 in de blokken
8;Basis;Aeroob fundament — traag leren lopen (herstelweek);0;conditioning;Lange duurloop;8 km volledig op praattempo. Afstand telt, tempo niet.;< 145 bpm
9;Specifiek;Compromised running — lopen met verzuurde benen;1;conditioning;Rustige duurloop;40 min praattempo. Dit blijft je herstelmotor.;< 145 bpm
9;Specifiek;Compromised running — lopen met verzuurde benen;3;strength;Kracht — stations;Zwaarder worden op sled en sandbag. Focus op grip (farmers carry) en benen (lunges). Volledig uitrusten tussen sets.;n.v.t.
9;Specifiek;Compromised running — lopen met verzuurde benen;5;circuit;Compromised running;3 rondes: 1km lopen + 50 wall balls. Dit vervangt je interval.;hoog — mag pijn doen
9;Specifiek;Compromised running — lopen met verzuurde benen;0;conditioning;Lange duurloop;12 km rustig. Laatste 2km mag iets vlotter.;< 150 bpm
10;Specifiek;Compromised running — lopen met verzuurde benen;1;conditioning;Rustige duurloop;45 min praattempo. Dit blijft je herstelmotor.;< 145 bpm
10;Specifiek;Compromised running — lopen met verzuurde benen;3;strength;Kracht — stations;Zwaarder worden op sled en sandbag. Focus op grip (farmers carry) en benen (lunges). Volledig uitrusten tussen sets.;n.v.t.
10;Specifiek;Compromised running — lopen met verzuurde benen;5;circuit;Compromised running;3 rondes: 1km lopen + 100m sandbag lunges. Dit vervangt je interval.;hoog — mag pijn doen
10;Specifiek;Compromised running — lopen met verzuurde benen;0;conditioning;Lange duurloop;13 km rustig. Laatste 2km mag iets vlotter.;< 150 bpm
11;Specifiek;Compromised running — lopen met verzuurde benen;1;conditioning;Rustige duurloop;45 min praattempo. Dit blijft je herstelmotor.;< 145 bpm
11;Specifiek;Compromised running — lopen met verzuurde benen;3;strength;Kracht — stations;Zwaarder worden op sled en sandbag. Focus op grip (farmers carry) en benen (lunges). Volledig uitrusten tussen sets.;n.v.t.
11;Specifiek;Compromised running — lopen met verzuurde benen;5;circuit;Compromised running;4 rondes: 1km lopen + afwisselend sled push / wall balls. Dit vervangt je interval.;hoog — mag pijn doen
11;Specifiek;Compromised running — lopen met verzuurde benen;0;conditioning;Lange duurloop;14 km rustig. Laatste 2km mag iets vlotter.;< 150 bpm
12;Specifiek;Compromised running — lopen met verzuurde benen (herstelweek);1;conditioning;Rustige duurloop;35 min praattempo. Dit blijft je herstelmotor.;< 145 bpm
12;Specifiek;Compromised running — lopen met verzuurde benen (herstelweek);3;strength;Kracht — stations;Zwaarder worden op sled en sandbag. Focus op grip (farmers carry) en benen (lunges). Volledig uitrusten tussen sets.;n.v.t.
12;Specifiek;Compromised running — lopen met verzuurde benen (herstelweek);5;circuit;Compromised running;Herstelweek: 2 rondes 1km lopen + 30 wall balls. Dit vervangt je interval.;hoog — mag pijn doen
12;Specifiek;Compromised running — lopen met verzuurde benen (herstelweek);0;conditioning;Lange duurloop;10 km rustig. Laatste 2km mag iets vlotter.;< 150 bpm
13;Specifiek;Compromised running — lopen met verzuurde benen;1;conditioning;Rustige duurloop;45 min praattempo. Dit blijft je herstelmotor.;< 145 bpm
13;Specifiek;Compromised running — lopen met verzuurde benen;3;strength;Kracht — stations;Zwaarder worden op sled en sandbag. Focus op grip (farmers carry) en benen (lunges). Volledig uitrusten tussen sets.;n.v.t.
13;Specifiek;Compromised running — lopen met verzuurde benen;5;circuit;Compromised running;4 rondes: 1km lopen + sled push 25m + sled pull 25m. Dit vervangt je interval.;hoog — mag pijn doen
13;Specifiek;Compromised running — lopen met verzuurde benen;0;conditioning;Lange duurloop;14 km rustig. Laatste 2km mag iets vlotter.;< 150 bpm
14;Specifiek;Compromised running — lopen met verzuurde benen;1;conditioning;Rustige duurloop;50 min praattempo. Dit blijft je herstelmotor.;< 145 bpm
14;Specifiek;Compromised running — lopen met verzuurde benen;3;strength;Kracht — stations;Zwaarder worden op sled en sandbag. Focus op grip (farmers carry) en benen (lunges). Volledig uitrusten tussen sets.;n.v.t.
14;Specifiek;Compromised running — lopen met verzuurde benen;5;circuit;Compromised running;4 rondes: 1km lopen + wisselend station (ski-erg 500m / burpee broad jumps 40m / farmers carry 200m). Dit vervangt je interval.;hoog — mag pijn doen
14;Specifiek;Compromised running — lopen met verzuurde benen;0;conditioning;Lange duurloop;15 km rustig. Laatste 2km mag iets vlotter.;< 150 bpm
15;Specifiek;Compromised running — lopen met verzuurde benen;1;conditioning;Rustige duurloop;50 min praattempo. Dit blijft je herstelmotor.;< 145 bpm
15;Specifiek;Compromised running — lopen met verzuurde benen;3;strength;Kracht — stations;Zwaarder worden op sled en sandbag. Focus op grip (farmers carry) en benen (lunges). Volledig uitrusten tussen sets.;n.v.t.
15;Specifiek;Compromised running — lopen met verzuurde benen;5;circuit;Compromised running;5 rondes: 1km lopen + station naar keuze. Dit vervangt je interval.;hoog — mag pijn doen
15;Specifiek;Compromised running — lopen met verzuurde benen;0;conditioning;Lange duurloop;16 km rustig. Laatste 2km mag iets vlotter.;< 150 bpm
16;Specifiek;Compromised running — lopen met verzuurde benen (herstelweek);1;conditioning;Rustige duurloop;40 min praattempo. Dit blijft je herstelmotor.;< 145 bpm
16;Specifiek;Compromised running — lopen met verzuurde benen (herstelweek);3;strength;Kracht — stations;Zwaarder worden op sled en sandbag. Focus op grip (farmers carry) en benen (lunges). Volledig uitrusten tussen sets.;n.v.t.
16;Specifiek;Compromised running — lopen met verzuurde benen (herstelweek);5;circuit;Compromised running;Herstelweek: 3 rondes 1km lopen + licht station. Dit vervangt je interval.;hoog — mag pijn doen
16;Specifiek;Compromised running — lopen met verzuurde benen (herstelweek);0;conditioning;Lange duurloop;12 km rustig. Laatste 2km mag iets vlotter.;< 150 bpm
17;Simulatie;Eerste halve Hyrox;1;conditioning;Rustige duurloop;45 min praattempo.;< 145 bpm
17;Simulatie;Eerste halve Hyrox;3;strength;Kracht — licht;Techniek op racegewicht. Niet uitputten.;n.v.t.
17;Simulatie;Eerste halve Hyrox;5;mobility;Actief herstel;30 min wandelen of los fietsen + mobiliteit.;laag
17;Simulatie;Eerste halve Hyrox;0;circuit;HALVE HYROX;4x (1km lopen + station): ski-erg 500m / sled push / burpee broad jumps / roeien 500m. Klok mee.;race-intensiteit
18;Simulatie;Volume vasthouden;1;conditioning;Rustige duurloop;50 min praattempo.;< 145 bpm
18;Simulatie;Volume vasthouden;3;strength;Kracht — stations;Zwaarste krachtdag van het blok.;n.v.t.
18;Simulatie;Volume vasthouden;5;circuit;Compromised running;5 rondes: 1km lopen + station.;hoog
18;Simulatie;Volume vasthouden;0;conditioning;Lange duurloop;14 km rustig.;< 150 bpm
19;Simulatie;Tweede halve Hyrox — meet je progressie;1;conditioning;Rustige duurloop;40 min praattempo.;< 145 bpm
19;Simulatie;Tweede halve Hyrox — meet je progressie;3;strength;Kracht — licht;Alles op racegewicht. Geen PR's zoeken.;n.v.t.
19;Simulatie;Tweede halve Hyrox — meet je progressie;5;mobility;Actief herstel;30 min los + mobiliteit.;laag
19;Simulatie;Tweede halve Hyrox — meet je progressie;0;circuit;HALVE HYROX #2;Zelfde als week 17. Vergelijk je tijd — hier zie je wat 19 weken hebben opgeleverd.;race-intensiteit
20;Taper;RACEWEEK — minder is meer;1;conditioning;Kort en los;25 min heel rustig.;< 140 bpm
20;Taper;RACEWEEK — minder is meer;3;conditioning;Activatie;15 min inlopen + 4x 30 sec vlot. Niet uitputten.;kort hoog
20;Taper;RACEWEEK — minder is meer;5;mobility;Rust;Volledige rust. Eten en slapen is je training.;n.v.t.
20;Taper;RACEWEEK — minder is meer;0;circuit;HYROX RACE;Start bewust TE traag. Je wint op de stations, niet op de eerste kilometer.;all-in
